Sample in Buffer,Sample in Window,TRIGGER,w_accum_data[47:0],w_rom_data[15:0],o_led_OBUF[9:9],w_count[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
557,557,0,0011eaf4b655,11c1,0,270
558,558,0,0011eaf4a906,8fb8,0,271
559,559,0,0011eaf4bac7,ff0c,0,272
560,560,0,0011eaf44a7f,246e,0,273
561,561,0,0011eaf4498b,b8a4,0,274
562,562,0,0011eaf46df9,5649,0,275
563,563,0,0011eaf4269d,7898,0,276
564,564,0,0011eaf47ce6,58ab,0,277
565,565,0,0011eaf4f57e,0189,0,278
566,566,0,0011eaf54e29,c764,0,279
567,567,0,0011eaf54fb2,3f22,0,27a
568,568,0,0011eaf51716,bca7,0,27b
569,569,0,0011eaf55638,7514,0,27c
570,570,0,0011eaf512df,1ec9,0,27d
571,571,0,0011eaf587f3,19aa,0,27e
572,572,0,0011eaf5a6bc,ac2f,0,27f
573,573,0,0011eaf5c066,9720,0,280
574,574,0,0011eaf56c95,c158,0,281
575,575,0,0011eaf503b5,5bcb,0,282
576,576,0,0011eaf4c50d,693b,0,283
577,577,0,0011eaf520d8,331b,0,284
578,578,0,0011eaf58a13,39a5,0,285
579,579,0,0011eaf5bd2e,bad9,0,286
580,580,0,0011eaf5f6d3,1378,0,287
581,581,0,0011eaf5b1ac,4f85,0,288
582,582,0,0011eaf5c524,e762,0,289
583,583,0,0011eaf614a9,7d0a,0,28a
584,584,0,0011eaf5fc0b,970a,0,28b
585,585,0,0011eaf67915,d229,0,28c
586,586,0,0011eaf6101f,02eb,0,28d
587,587,0,0011eaf5e248,8f83,0,28e
588,588,0,0011eaf5e533,39c6,0,28f
589,589,0,0011eaf574b6,0e7a,0,290
590,590,0,0011eaf5ae7c,0784,0,291
591,591,0,0011eaf5bcf6,5479,0,292
592,592,0,0011eaf5c47a,5bd7,0,293
593,593,0,0011eaf618f3,49fd,0,294
594,594,0,0011eaf674ca,d15d,0,295
595,595,0,0011eaf6bec7,f3c3,0,296
596,596,0,0011eaf69024,4092,0,297
597,597,0,0011eaf683e7,9c1f,0,298
598,598,0,0011eaf6c479,9c18,0,299
599,599,0,0011eaf66098,c517,0,29a
600,600,0,0011eaf5fcb0,064e,0,29b
601,601,0,0011eaf5c1c7,78ff,0,29c
602,602,0,0011eaf5c815,35dd,0,29d
603,603,0,0011eaf64114,cfd6,0,29e
604,604,0,0011eaf676f1,ca9c,0,29f
605,605,0,0011eaf646c7,59b1,0,2a0
606,606,0,0011eaf61163,6961,0,2a1
607,607,0,0011eaf66b14,23a7,0,2a2
608,608,0,0011eaf6d475,c15f,0,2a3
609,609,0,0011eaf6f81c,96b2,0,2a4
610,610,0,0011eaf6b97b,5697,0,2a5
611,611,0,0011eaf6502d,15b0,0,2a6
612,612,0,0011eaf6a6c4,72b7,0,2a7
613,613,0,0011eaf6bc74,8f9f,0,2a8
614,614,0,0011eaf72f2b,15ab,0,2a9
615,615,0,0011eaf6beca,c8fc,0,2aa
616,616,0,0011eaf6d475,53e6,0,2ab
617,617,0,0011eaf69d71,b0e4,0,2ac
618,618,0,0011eaf6f157,f149,0,2ad
619,619,0,0011eaf6a23b,e4b6,0,2ae
620,620,0,0011eaf69384,539a,0,2af
621,621,0,0011eaf6783a,2d47,0,2b0
622,622,0,0011eaf6cbd4,b525,0,2b1
623,623,0,0011eaf6f91b,d16f,0,2b2
624,624,0,0011eaf6ae40,a241,0,2b3
625,625,0,0011eaf67faf,2be4,0,2b4
626,626,0,0011eaf621f0,122c,0,2b5
627,627,0,0011eaf64dd4,ab75,0,2b6
628,628,0,0011eaf66000,a5cc,0,2b7
629,629,0,0011eaf60b75,f9e0,0,2b8
630,630,0,0011eaf5b141,6879,0,2b9
631,631,0,0011eaf5ab21,0d5b,0,2ba
632,632,0,0011eaf6139a,886e,0,2bb
633,633,0,0011eaf620f5,8dc9,0,2bc
634,634,0,0011eaf5a963,4e18,0,2bd
635,635,0,0011eaf5372c,f38d,0,2be
636,636,0,0011eaf58544,e1f5,0,2bf
637,637,0,0011eaf578d1,4a26,0,2c0
638,638,0,0011eaf55ac6,dd41,0,2c1
639,639,0,0011eaf5a4ec,0848,0,2c2
640,640,0,0011eaf5822d,362f,0,2c3
641,641,0,0011eaf58a75,5f19,0,2c4
642,642,0,0011eaf5c0a4,d425,0,2c5
643,643,0,0011eaf61fbd,266e,0,2c6
644,644,0,0011eaf5f3e2,798e,0,2c7
645,645,0,0011eaf61a50,9372,0,2c8
646,646,0,0011eaf693de,1646,0,2c9
647,647,0,0011eaf62750,e9f4,0,2ca
648,648,0,0011eaf63d96,cf23,0,2cb
649,649,0,0011eaf6278a,c38a,0,2cc
650,650,0,0011eaf5f6ad,423e,0,2cd
651,651,0,0011eaf5ba37,7ec6,0,2ce
652,652,0,0011eaf5fc75,afc3,0,2cf
653,653,0,0011eaf67b3b,47f9,0,2d0
654,654,0,0011eaf62afe,b21f,0,2d1
655,655,0,0011eaf672f7,7e0b,0,2d2
656,656,0,0011eaf62516,4d61,0,2d3
657,657,0,0011eaf6a321,ec9a,0,2d4
658,658,0,0011eaf6f082,3a96,0,2d5
659,659,0,0011eaf6dd1c,ff94,0,2d6
660,660,0,0011eaf717b2,4f19,0,2d7
661,661,0,0011eaf71746,db44,0,2d8
662,662,0,0011eaf7665f,92c0,0,2d9
663,663,0,0011eaf741a3,174b,0,2da
664,664,0,0011eaf6d463,6902,0,2db
665,665,0,0011eaf6ebae,b19a,0,2dc
666,666,0,0011eaf754b0,eeaf,0,2dd
667,667,0,0011eaf7064a,3fc8,0,2de
668,668,0,0011eaf6f4f9,8a07,0,2df
669,669,0,0011eaf734c1,7242,0,2e0
670,670,0,0011eaf6bec8,4380,0,2e1
671,671,0,0011eaf7310a,0f0e,0,2e2
672,672,0,0011eaf7748a,af10,0,2e3
673,673,0,0011eaf78398,ff79,0,2e4
674,674,0,0011eaf732a8,0491,0,2e5
675,675,0,0011eaf73221,7e86,0,2e6
676,676,0,0011eaf736b2,5ad7,0,2e7
677,677,0,0011eaf7b538,7660,0,2e8
678,678,0,0011eaf8100f,2dcf,0,2e9
679,679,0,0011eaf8866f,e74b,0,2ea
680,680,0,0011eaf8b43e,6f5a,0,2eb
681,681,0,0011eaf89b89,fabf,0,2ec
682,682,0,0011eaf90ae3,bb56,0,2ed
683,683,0,0011eaf905a2,e573,0,2ee
684,684,0,0011eaf8c0f8,347f,0,2ef
685,685,0,0011eaf8a66b,0efd,0,2f0
686,686,0,0011eaf8daea,41b2,0,2f1
687,687,0,0011eaf8e9e7,7ed7,0,2f2
688,688,0,0011eaf92b99,7661,0,2f3
689,689,0,0011eaf9aa70,08fa,0,2f4
690,690,0,0011eafa20d1,76c0,0,2f5
691,691,0,0011eafa29cb,9d99,0,2f6
692,692,0,0011eafaa08b,8d2b,0,2f7
693,693,0,0011eafa3e24,cde9,0,2f8
694,694,0,0011eaf9cb4f,1487,0,2f9
695,695,0,0011eaf99938,07ed,0,2fa
696,696,0,0011eaf9adbf,66b5,0,2fb
697,697,0,0011eaf9b5ac,0a61,0,2fc
698,698,0,0011eafa1c61,ee96,0,2fd
699,699,0,0011eafa26c2,0aec,0,2fe
700,700,0,0011eafa1558,3660,0,2ff
701,701,0,0011eafa2044,8444,0,300
702,702,0,0011eafa56a4,4d09,0,301
703,703,0,0011eaf9dae8,a47b,0,302
704,704,0,0011eafa27f1,fa7d,0,303
705,705,0,0011eaf9cc6c,c1bf,0,304
706,706,0,0011eaf9c6e9,de7c,0,305
707,707,0,0011eaf988a8,2969,0,306
708,708,0,0011eaf96724,ab6b,0,307
709,709,0,0011eaf9908d,c75e,0,308
710,710,0,0011eaf93bf8,b2be,0,309
711,711,0,0011eaf90356,b1f0,0,30a
712,712,0,0011eaf8b614,d3ab,0,30b
713,713,0,0011eaf86804,615d,0,30c
714,714,0,0011eaf83baf,f89a,0,30d
715,715,0,0011eaf89d0c,e76a,0,30e
716,716,0,0011eaf895a6,ade2,0,30f
717,717,0,0011eaf87d10,780b,0,310
718,718,0,0011eaf82af2,e84f,0,311
719,719,0,0011eaf8a2fd,5830,0,312
720,720,0,0011eaf88b4c,1d85,0,313
721,721,0,0011eaf8e37c,e069,0,314
722,722,0,0011eaf90101,608e,0,315
723,723,0,0011eaf8e16a,48ec,0,316
724,724,0,0011eaf941f8,f707,0,317
725,725,0,0011eaf98ae4,5060,0,318
726,726,0,0011eaf981eb,6600,0,319
727,727,0,0011eaf9d24b,ede2,0,31a
728,728,0,0011eafa384b,d596,0,31b
729,729,0,0011eafa262d,18bd,0,31c
730,730,0,0011eaf9fbc3,66e8,0,31d
731,731,0,0011eafa1480,33ba,0,31e
732,732,0,0011eafa7b68,e0a0,0,31f
733,733,0,0011eafaaf22,3c26,0,320
734,734,0,0011eafa8fc2,7440,0,321
735,735,0,0011eafacbe8,0af5,0,322
736,736,0,0011eafb4028,0a44,0,323
737,737,0,0011eafb4b1d,cfa4,0,324
738,738,0,0011eafb5561,923c,0,325
739,739,0,0011eafb2505,ae96,0,326
740,740,0,0011eafab741,97ce,0,327
741,741,0,0011eafa65d7,f6a7,0,328
742,742,0,0011eaf9fda5,8263,0,329
743,743,0,0011eaf9f44c,6a3f,0,32a
744,744,0,0011eaf976af,248a,0,32b
745,745,0,0011eaf9e0ee,805c,0,32c
746,746,0,0011eafa0578,87c7,0,32d
747,747,0,0011eaf985d4,b55e,0,32e
748,748,0,0011eaf90d9b,f478,0,32f
749,749,0,0011eaf8c2f9,a094,0,330
750,750,0,0011eaf8b771,8236,0,331
751,751,0,0011eaf85805,3a21,0,332
752,752,0,0011eaf7da3b,daa7,0,333
753,753,0,0011eaf8145c,47cb,0,334
754,754,0,0011eaf7ef03,efc8,0,335
755,755,0,0011eaf836ce,efc2,0,336
756,756,0,0011eaf82696,8c99,0,337
757,757,0,0011eaf81658,8cb4,0,338
758,758,0,0011eaf7a2f1,9752,0,339
759,759,0,0011eaf72fa5,1812,0,33a
760,760,0,0011eaf6c6f7,bdb7,0,33b
761,761,0,0011eaf6df09,5763,0,33c
762,762,0,0011eaf69cc0,5b72,0,33d
763,763,0,0011eaf6f423,76af,0,33e
764,764,0,0011eaf74f95,fd28,0,33f
765,765,0,0011eaf7c644,b866,0,340
766,766,0,0011eaf7c36c,b9e8,0,341
767,767,0,0011eaf77bd2,096a,0,342
768,768,0,0011eaf735ba,4319,0,343
769,769,0,0011eaf73f24,d8fa,0,344
770,770,0,0011eaf7823d,f613,0,345
771,771,0,0011eaf75b37,23aa,0,346
772,772,0,0011eaf7514a,6ad6,0,347
773,773,0,0011eaf774f4,a95c,0,348
774,774,0,0011eaf7dfca,3733,0,349
775,775,0,0011eaf78926,13e6,0,34a
776,776,0,0011eaf7c059,eeec,0,34b
777,777,0,0011eaf7d43f,625d,0,34c
778,778,0,0011eaf7c32b,e49f,0,34d
779,779,0,0011eaf82588,add1,0,34e
780,780,0,0011eaf80a27,2222,0,34f
781,781,0,0011eaf7b7f8,1fbe,0,350
782,782,0,0011eaf7da1a,d3f3,0,351
783,783,0,0011eaf7f9d8,4d8f,0,352
784,784,0,0011eaf7cdcb,7fdd,0,353
785,785,0,0011eaf81b5a,7b21,0,354
786,786,0,0011eaf89b37,a085,0,355
787,787,0,0011eaf91658,bb74,0,356
788,788,0,0011eaf8b6dd,860c,0,357
789,789,0,0011eaf87251,1b80,0,358
790,790,0,0011eaf7f85d,9c5d,0,359
791,791,0,0011eaf813dd,e84f,0,35a
792,792,0,0011eaf7b03a,6252,0,35b
793,793,0,0011eaf79889,0c52,0,35c
794,794,0,0011eaf7fadb,de76,0,35d
795,795,0,0011eaf8072d,b556,0,35e
796,796,0,0011eaf7e5a3,f0e1,0,35f
797,797,0,0011eaf79af9,74c9,0,360
798,798,0,0011eaf78bda,9fc0,0,361
799,799,0,0011eaf800a3,f883,0,362
800,800,0,0011eaf7a063,5b5d,0,363
801,801,0,0011eaf798e6,8b1b,0,364
802,802,0,0011eaf7f443,310e,0,365
803,803,0,0011eaf77f5e,7a9e,0,366
804,804,0,0011eaf7b06c,c884,0,367
805,805,0,0011eaf82b0a,a23f,0,368
806,806,0,0011eaf7f38e,2f6e,0,369
807,807,0,0011eaf795cd,68d2,0,36a
808,808,0,0011eaf7c53b,1c61,0,36b
809,809,0,0011eaf82e0d,6665,0,36c
810,810,0,0011eaf84a6e,b184,0,36d
811,811,0,0011eaf8b0d3,4121,0,36e
812,812,0,0011eaf86257,d8a4,0,36f
813,813,0,0011eaf8a378,eb2b,0,370
814,814,0,0011eaf87c1c,a7dd,0,371
815,815,0,0011eaf86747,51aa,0,372
816,816,0,0011eaf80f24,1ffa,0,373
817,817,0,0011eaf860ce,3d12,0,374
818,818,0,0011eaf880c8,4e1b,0,375
819,819,0,0011eaf8bdda,9135,0,376
820,820,0,0011eaf90bf5,7366,0,377
821,821,0,0011eaf89d2a,ff61,0,378
822,822,0,0011eaf91090,4151,0,379
823,823,0,0011eaf90ff1,3e0e,0,37a
824,824,0,0011eaf95142,54c4,0,37b
825,825,0,0011eaf98f50,a810,0,37c
826,826,0,0011eaf9e414,f512,0,37d
827,827,0,0011eaf98c24,1e3b,0,37e
828,828,0,0011eaf98136,6ea3,0,37f
829,829,0,0011eaf99f71,55c8,0,380
830,830,0,0011eafa0e14,653a,0,381
831,831,0,0011eafa63dc,151f,0,382
832,832,0,0011eafac916,152e,0,383
833,833,0,0011eafade35,5adc,0,384
834,834,0,0011eafaf363,88ec,0,385
835,835,0,0011eafb4e3f,62aa,0,386
836,836,0,0011eafad72b,e861,0,387
837,837,0,0011eafb39d5,8950,0,388
838,838,0,0011eafb2236,3f03,0,389
839,839,0,0011eafaab86,a7a2,0,38a
840,840,0,0011eafaea89,a4d7,0,38b
841,841,0,0011eafa922b,1b20,0,38c
842,842,0,0011eafa3702,c125,0,38d
843,843,0,0011eafa5222,d2fb,0,38e
844,844,0,0011eafa1347,e6db,0,38f
845,845,0,0011eaf9e642,e808,0,390
846,846,0,0011eaf9cd1d,e2dd,0,391
847,847,0,0011eaf9b525,1c1b,0,392
848,848,0,0011eaf99802,aab9,0,393
849,849,0,0011eaf9b41d,b026,0,394
850,850,0,0011eaf95ed6,9839,0,395
851,851,0,0011eaf90efc,d2bc,0,396
852,852,0,0011eaf8a735,4504,0,397
853,853,0,0011eaf879f1,bbef,0,398
854,854,0,0011eaf8bef5,3d88,0,399
855,855,0,0011eaf87ae4,315c,0,39a
856,856,0,0011eaf8b86c,52f6,0,39b
857,857,0,0011eaf8e9c8,53f6,0,39c
858,858,0,0011eaf93cbe,cb1a,0,39d
859,859,0,0011eaf990b4,cf32,0,39e
860,860,0,0011eaf95bce,05e5,0,39f
861,861,0,0011eaf92b00,d346,0,3a0
862,862,0,0011eaf930e5,54f3,0,3a1
863,863,0,0011eaf9042b,4f6f,0,3a2
864,864,0,0011eaf9591e,0e97,0,3a3
865,865,0,0011eaf9a88d,c351,0,3a4
866,866,0,0011eaf9b724,2e39,0,3a5
867,867,0,0011eaf97a75,bbd0,0,3a6
868,868,0,0011eaf9a8ae,f4d8,0,3a7
869,869,0,0011eaf9647e,e272,0,3a8
870,870,0,0011eaf95956,09e1,0,3a9
871,871,0,0011eaf93bc8,7de0,0,3aa
872,872,0,0011eaf945a9,4156,0,3ab
873,873,0,0011eaf9c389,7aff,0,3ac
874,874,0,0011eafa04df,bc1a,0,3ad
875,875,0,0011eafa7fde,074f,0,3ae
876,876,0,0011eafa3bf8,8d2a,0,3af
877,877,0,0011eafa4347,41c2,0,3b0
878,878,0,0011eaf9d071,1a1b,0,3b1
879,879,0,0011eafa1233,5b6f,0,3b2
880,880,0,0011eafa2c4e,7cff,0,3b3
881,881,0,0011eafa87bd,6df2,0,3b4
882,882,0,0011eafb04bc,e8d5,0,3b5
883,883,0,0011eafb72ae,8016,0,3b6
884,884,0,0011eafb5b83,0a77,0,3b7
885,885,0,0011eafadb99,b52d,0,3b8
886,886,0,0011eafae610,b822,0,3b9
887,887,0,0011eafa9b3d,d368,0,3ba
888,888,0,0011eafa535f,9890,0,3bb
889,889,0,0011eafa26c7,3f5e,0,3bc
890,890,0,0011eaf9bf57,3f9e,0,3bd
891,891,0,0011eaf9feb5,0b15,0,3be
892,892,0,0011eafa3e53,d68f,0,3bf
893,893,0,0011eafa4968,5513,0,3c0
894,894,0,0011eafa1ff7,0d75,0,3c1
895,895,0,0011eafa750a,7521,0,3c2
896,896,0,0011eafa827f,6490,0,3c3
897,897,0,0011eafaf7a0,db43,0,3c4
898,898,0,0011eafb5c30,0be0,0,3c5
899,899,0,0011eafb3773,d8c0,0,3c6
900,900,0,0011eafb4353,1f70,0,3c7
901,901,0,0011eafb1c13,4bef,0,3c8
902,902,0,0011eafb3b83,3ef1,0,3c9
903,903,0,0011eafb8772,a023,0,3ca
904,904,0,0011eafbc663,5288,0,3cb
905,905,0,0011eafb6686,8670,0,3cc
906,906,0,0011eafbb90e,ea18,0,3cd
907,907,0,0011eafb3f7e,3b3d,0,3ce
908,908,0,0011eafb2996,4808,0,3cf
909,909,0,0011eafb64d3,de06,0,3d0
910,910,0,0011eafbacdb,3eaf,0,3d1
911,911,0,0011eafb8ae1,646b,0,3d2
912,912,0,0011eafbc990,be1b,0,3d3
913,913,0,0011eafc2dfb,a12d,0,3d4
914,914,0,0011eafbec16,b99e,0,3d5
915,915,0,0011eafb8d43,d99a,0,3d6
916,916,0,0011eafb46e1,c97e,0,3d7
917,917,0,0011eafb207b,6d6f,0,3d8
918,918,0,0011eafae9f9,8d22,0,3d9
919,919,0,0011eafb5768,17b9,0,3da
920,920,0,0011eafae48a,a9b3,0,3db
921,921,0,0011eafafc43,56a1,0,3dc
922,922,0,0011eafaa5f6,aae5,0,3dd
923,923,0,0011eafafc97,0090,0,3de
924,924,0,0011eafaa77c,7fd4,0,3df
925,925,0,0011eafaa80c,dafb,0,3e0
926,926,0,0011eafb27e0,8c0d,0,3e1
927,927,0,0011eafb02db,b6b2,0,3e2
928,928,0,0011eafa8ee8,e5d8,0,3e3
929,929,0,0011eafa459a,d56b,0,3e4
930,930,0,0011eafa2b72,bac7,0,3e5
931,931,0,0011eafa00dd,6fa5,0,3e6
932,932,0,0011eaf9bba4,2ee5,0,3e7
933,933,0,0011eafa2b49,764d,0,3e8
934,934,0,0011eafa5a2e,f01f,0,3e9
935,935,0,0011eafad07b,70b9,0,3ea
936,936,0,0011eafac09a,817e,0,3eb
937,937,0,0011eafb3153,1c3d,0,3ec
938,938,0,0011eafab2d1,4d13,0,3ed
939,939,0,0011eafacf0e,bba4,0,3ee
940,940,0,0011eafb1c21,6eb6,0,3ef
941,941,0,0011eafad7c5,4365,0,3f0
942,942,0,0011eafb467b,5392,0,3f1
943,943,0,0011eafb89e0,12ce,0,3f2
944,944,0,0011eafbdd72,4ae6,0,3f3
945,945,0,0011eafbf040,d43c,0,3f4
946,946,0,0011eafc3b26,b934,0,3f5
947,947,0,0011eafc0f62,cff8,0,3f6
948,948,0,0011eafbc896,15a3,0,3f7
949,949,0,0011eafb988e,5475,0,3f8
950,950,0,0011eafbae31,ca5b,0,3f9
951,951,0,0011eafc02a6,e70d,0,3fa
952,952,0,0011eafbcd01,5caf,0,3fb
953,953,0,0011eafbb40e,1d5f,0,3fc
954,954,0,0011eafc10bd,7dbe,0,3fd
955,955,0,0011eafc2e1c,b425,0,3fe
956,956,0,0011eafcabda,53c3,0,3ff
957,957,0,0011eafc5fff,2d05,0,000
958,958,0,0011eafcb3c2,ae3c,0,001
959,959,0,0011eafce0c7,8b88,0,002
960,960,0,0011eafc8f03,3921,0,003
961,961,0,0011eafc1a8b,d8f1,0,004
962,962,0,0011eafc53ac,291e,0,005
963,963,0,0011eafc2c9d,e245,0,006
964,964,0,0011eafc55bb,2099,0,007
965,965,0,0011eafc3800,858a,0,008
966,966,0,0011eafc5899,691b,0,009
967,967,0,0011eafbde23,4cf1,0,00a
968,968,0,0011eafc473e,3eef,0,00b
969,969,0,0011eafc942f,5028,0,00c
970,970,0,0011eafcd31e,e220,0,00d
971,971,0,0011eafd2346,1e06,0,00e
972,972,0,0011eafd0566,1353,0,00f
973,973,0,0011eafd236c,07b1,0,010
974,974,0,0011eafd36bf,c66a,0,011
975,975,0,0011eafd3e70,bfa6,0,012
976,976,0,0011eafd04da,f39e,0,013
977,977,0,0011eafcc480,ba4b,0,014
978,978,0,0011eafcb81e,4df0,0,015
979,979,0,0011eafc7269,7c71,0,016
980,980,0,0011eafcc059,87ad,0,017
981,981,0,0011eafd3cca,0921,0,018
982,982,0,0011eafcc477,964a,0,019
983,983,0,0011eafccd98,4d55,0,01a
984,984,0,0011eafc63e2,7d38,0,01b
985,985,0,0011eafcb137,9123,0,01c
986,986,0,0011eafd2e6f,707c,0,01d
987,987,0,0011eafcbf92,84a7,0,01e
988,988,0,0011eafd300e,2f10,0,01f
989,989,0,0011eafcb4b5,48a2,0,020
990,990,0,0011eafce3c5,08bd,0,021
991,991,0,0011eafd2c67,62a6,0,022
992,992,0,0011eafd3524,6625,0,023
993,993,0,0011eafd97ca,203d,0,024
994,994,0,0011eafdfdef,a34b,0,025
995,995,0,0011eafe1e2c,b7c1,0,026
996,996,0,0011eafdc177,aea0,0,027
997,997,0,0011eafd7938,8ab4,0,028
998,998,0,0011eafd27d8,9b60,0,029
999,999,0,0011eafcb28c,1dcf,0,02a
1000,1000,0,0011eafc4dec,708d,0,02b
1001,1001,0,0011eafc6bbb,dabd,0,02c
1002,1002,0,0011eafcdc48,e91e,0,02d
1003,1003,0,0011eafcb705,7bfe,0,02e
1004,1004,0,0011eafca023,7211,0,02f
1005,1005,0,0011eafd1c21,2d38,0,030
1006,1006,0,0011eafd8e32,7d01,0,031
1007,1007,0,0011eafdbb6a,444f,0,032
1008,1008,0,0011eafe386b,d631,0,033
1009,1009,0,0011eafe7cba,2991,0,034
1010,1010,0,0011eafe52eb,be81,0,035
1011,1011,0,0011eafe7c7c,cba6,0,036
1012,1012,0,0011eafe3afd,2e20,0,037
1013,1013,0,0011eafe06a3,0720,0,038
1014,1014,0,0011eafe34c3,e95e,0,039
1015,1015,0,0011eafe3be3,1a46,0,03a
1016,1016,0,0011eafe2541,4022,0,03b
1017,1017,0,0011eafe3f87,1562,0,03c
1018,1018,0,0011eafe7fa9,0d42,0,03d
1019,1019,0,0011eafe950b,1564,0,03e
1020,1020,0,0011eafea24d,0306,0,03f
1021,1021,0,0011eafeb7b1,9524,0,040
1022,1022,0,0011eafebab7,3835,0,041
1023,1023,0,0011eafe4fdb,7f04,0,042
