Sample in Buffer,Sample in Window,TRIGGER,w_accum_data[47:0],w_rom_data[15:0],o_led_OBUF[9:9],w_count[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
128,128,0,0011eaf55a91,26be,0,0c3
129,129,0,0011eaf5d41d,bb32,0,0c4
130,130,0,0011eaf5fadb,e74b,0,0c5
131,131,0,0011eaf5b60d,9f3c,0,0c6
132,132,0,0011eaf59d58,c4b8,0,0c7
133,133,0,0011eaf53c94,c202,0,0c8
134,134,0,0011eaf5014c,d4e8,0,0c9
135,135,0,0011eaf4c34e,a6f8,0,0ca
136,136,0,0011eaf49836,d917,0,0cb
137,137,0,0011eaf43f2e,9f25,0,0cc
138,138,0,0011eaf41845,6257,0,0cd
139,139,0,0011eaf3b76a,9822,0,0ce
140,140,0,0011eaf419c1,6e17,0,0cf
141,141,0,0011eaf3b1e3,e626,0,0d0
142,142,0,0011eaf41ffa,8c22,0,0d1
143,143,0,0011eaf40620,d7a5,0,0d2
144,144,0,0011eaf39242,3c68,0,0d3
145,145,0,0011eaf369e7,4b70,0,0d4
146,146,0,0011eaf3a64f,0b7e,0,0d5
147,147,0,0011eaf3f1bf,2fac,0,0d6
148,148,0,0011eaf3fd3d,64c5,0,0d7
149,149,0,0011eaf42ce9,8e06,0,0d8
150,150,0,0011eaf491ae,cdbc,0,0d9
151,151,0,0011eaf41fb4,8bd3,0,0da
152,152,0,0011eaf3ed70,b20a,0,0db
153,153,0,0011eaf37943,385c,0,0dc
154,154,0,0011eaf32b4d,38c4,0,0dd
155,155,0,0011eaf363a9,60b7,0,0de
156,156,0,0011eaf39c6d,151a,0,0df
157,157,0,0011eaf3fd24,9218,0,0e0
158,158,0,0011eaf4123e,6c38,0,0e1
159,159,0,0011eaf3a456,4ce5,0,0e2
160,160,0,0011eaf4108e,c933,0,0e3
161,161,0,0011eaf45d73,0b2d,0,0e4
162,162,0,0011eaf426a6,7c1a,0,0e5
163,163,0,0011eaf431d3,3736,0,0e6
164,164,0,0011eaf4aded,56c6,0,0e7
165,165,0,0011eaf4e523,eeea,0,0e8
166,166,0,0011eaf53be9,f87a,0,0e9
167,167,0,0011eaf52ad3,0f8a,0,0ea
168,168,0,0011eaf5234d,c4e3,0,0eb
169,169,0,0011eaf532d7,3fbf,0,0ec
170,170,0,0011eaf4f7ba,00fe,0,0ed
171,171,0,0011eaf53779,2595,0,0ee
172,172,0,0011eaf53877,cec8,0,0ef
173,173,0,0011eaf55e0c,a383,0,0f0
174,174,0,0011eaf52cd4,f9bf,0,0f1
175,175,0,0011eaf4d057,dcca,0,0f2
176,176,0,0011eaf4ca16,49c1,0,0f3
177,177,0,0011eaf4a6e0,47c1,0,0f4
178,178,0,0011eaf4f0a1,2b23,0,0f5
179,179,0,0011eaf53862,a22d,0,0f6
180,180,0,0011eaf56385,8584,0,0f7
181,181,0,0011eaf505b2,0f51,0,0f8
182,182,0,0011eaf48b36,cd02,0,0f9
183,183,0,0011eaf49a87,707d,0,0fa
184,184,0,0011eaf46789,7b1c,0,0fb
185,185,0,0011eaf4d806,c95f,0,0fc
186,186,0,0011eaf55322,4d02,0,0fd
187,187,0,0011eaf51c81,6567,0,0fe
188,188,0,0011eaf56983,18f7,0,0ff
189,189,0,0011eaf5ceea,624e,0,100
190,190,0,0011eaf5e7e1,7198,0,101
191,191,0,0011eaf64a2f,0c95,0,102
192,192,0,0011eaf6bbc7,3a77,0,103
193,193,0,0011eaf6c85c,13a6,0,104
194,194,0,0011eaf702d3,869e,0,105
195,195,0,0011eaf71679,f24f,0,106
196,196,0,0011eaf69d17,2574,0,107
197,197,0,0011eaf68f66,056d,0,108
198,198,0,0011eaf6b4da,df4f,0,109
199,199,0,0011eaf6ba47,6fe8,0,10a
200,200,0,0011eaf69996,545c,0,10b
201,201,0,0011eaf7097e,595d,0,10c
202,202,0,0011eaf75dda,df5e,0,10d
203,203,0,0011eaf7b737,17da,0,10e
204,204,0,0011eaf79695,5f5f,0,10f
205,205,0,0011eaf7ae6f,6ef9,0,110
206,206,0,0011eaf80dce,2b20,0,111
207,207,0,0011eaf87cc7,b4ef,0,112
208,208,0,0011eaf8a7e7,2762,0,113
209,209,0,0011eaf85cd6,9271,0,114
210,210,0,0011eaf88438,e81f,0,115
211,211,0,0011eaf816a9,2abc,0,116
212,212,0,0011eaf7fec8,6f08,0,117
213,213,0,0011eaf82984,4f9a,0,118
214,214,0,0011eaf8988c,fc0b,0,119
215,215,0,0011eaf8e826,41ba,0,11a
216,216,0,0011eaf8e431,eac3,0,11b
217,217,0,0011eaf925eb,78c6,0,11c
218,218,0,0011eaf910ae,7ceb,0,11d
219,219,0,0011eaf98974,5d38,0,11e
220,220,0,0011eafa065f,e38d,0,11f
221,221,0,0011eafa6397,f469,0,120
222,222,0,0011eafa4724,bf26,0,121
223,223,0,0011eafa3b8d,48cf,0,122
224,224,0,0011eaf9fab3,6201,0,123
225,225,0,0011eafa4382,69e9,0,124
226,226,0,0011eafaa583,0eeb,0,125
227,227,0,0011eafb0f6c,194f,0,126
228,228,0,0011eafb1e57,a61c,0,127
229,229,0,0011eafb37a6,6653,0,128
230,230,0,0011eafaddc2,f34c,0,129
231,231,0,0011eafb4415,b4a6,0,12a
232,232,0,0011eafb3761,664f,0,12b
233,233,0,0011eafaec07,4338,0,12c
234,234,0,0011eafb5256,61ea,0,12d
235,235,0,0011eafb958e,c8f2,0,12e
236,236,0,0011eafbf778,2c58,0,12f
237,237,0,0011eafbc06a,2a0e,0,130
238,238,0,0011eafbecc2,9f70,0,131
239,239,0,0011eafc16d0,e846,0,132
240,240,0,0011eafbb640,c679,0,133
241,241,0,0011eafb9e86,3777,0,134
242,242,0,0011eafb64ff,c88b,0,135
243,243,0,0011eafb9c76,656d,0,136
244,244,0,0011eafb6501,539a,0,137
245,245,0,0011eafbca6e,e3d8,0,138
246,246,0,0011eafc1e08,ff76,0,139
247,247,0,0011eafc01e0,31de,0,13a
248,248,0,0011eafc0156,5599,0,13b
249,249,0,0011eafc3334,1c10,0,13c
250,250,0,0011eafc88cd,1321,0,13d
251,251,0,0011eafca4dd,d377,0,13e
252,252,0,0011eafcb7fe,f4d8,0,13f
253,253,0,0011eafc8b75,36bb,0,140
254,254,0,0011eafc804d,6268,0,141
255,255,0,0011eafcb708,3889,0,142
256,256,0,0011eafd1970,84c3,0,143
257,257,0,0011eafd51f9,2cbe,0,144
258,258,0,0011eafcd6bc,f042,0,145
259,259,0,0011eafd037a,f014,0,146
260,260,0,0011eafcf3bc,9df6,0,147
261,261,0,0011eafce3d0,508e,0,148
262,262,0,0011eafc81c6,d329,0,149
263,263,0,0011eafcd254,bf08,0,14a
264,264,0,0011eafca57d,d7bc,0,14b
265,265,0,0011eafc6485,e02d,0,14c
266,266,0,0011eafc3c41,0bea,0,14d
